feature,importance
logp_a,1.100654125213623
logp_b,1.08242928981781
mw_a,0.9591800570487976
one_biologic,0.8564231395721436
mw_b,0.744862973690033
either_has_boxed_warning,0.705191969871521
half_life_hours_a,0.574506402015686
both_small_molecule,0.5214054584503174
mw_diff,0.43966200947761536
protein_binding_a,0.38699406385421753
drug_b_rxnorm_known,0.34557458758354187
logp_diff,0.26762843132019043
half_life_hours_b,0.22487981617450714
drug_a_rxnorm_known,0.2220049947500229
mw_ratio,0.17432312667369843
protein_binding_b,0.16506090760231018
logp_ratio,0.15839135646820068
drug_a_has_boxed_warning,0.095163494348526
drug_a_has_interactions,0.07609089463949203
max_cyp_risk_score,0.07438721507787704
